Latitude_x,Longitude_x,Latitude_y,Longitude_y
40.277802,-105.545303,40.29548,-105.4769
47.808228,-117.343269,47.808144,-117.364716
47.663963,-117.257652,47.703583,-117.329315
47.660568,-117.084503,47.622646,-117.13881
47.645351,-117.589027,47.655636,-117.63986
29.489082,-81.276833,29.453812,-81.24432
39.371677,-76.746811,39.39108,-76.67935
40.631699,-74.156898,40.589836,-74.114105
38.765579,-119.807449,38.800114,-119.87015
40.5802,-74.199402,40.616783,-74.25253
39.146027,-84.538376,39.17937,-84.57056
36.60899,-118.057922,36.584896,-118.0504
40.882198,-106.306107,40.890446,-106.271454
48.3456,-117.277496,48.377926,-117.22954
39.12886,-84.504044,39.164497,-84.431885
41.096157,-80.658905,41.1275,-80.71399
34.63596,-82.810669,34.588062,-82.813354
41.09594,-80.65847,41.1275,-80.71399
34.100132,-117.491982,34.134277,-117.48775
38.41024,-82.432434,38.386017,-82.470276
34.66959,-118.130692,34.668037,-118.177216
34.828899,-118.879097,34.85655,-118.91031
42.718601,-109.753098,42.75392,-109.80086
41.975601,-72.386703,41.9376,-72.44043
29.38777,-95.041389,29.337994,-95.09683
42.98,-110.353058,43.02894,-110.30316
35.054401,-119.4039,35.09335,-119.390594
35.345608,-118.851822,35.32873,-118.77927
32.541801,-97.1175,32.579395,-97.063995
42.434151,-123.348465,42.471615,-123.28885
34.066429,-118.226753,34.091778,-118.28052
37.2267,-121.9786,37.21525,-122.03763
31.617201,-97.227798,31.609516,-97.189575
35.050449,-118.147781,35.00896,-118.14017
35.3853,-119.014702,35.382153,-119.06891
35.621113,-117.673058,35.659615,-117.64511
35.356613,-119.062614,35.382153,-119.06891
29.011101,-95.397499,29.021297,-95.34903
36.532616,-82.516304,36.530746,-82.56903
29.5203,-95.392502,29.55627,-95.33786
36.521019,-82.516304,36.530746,-82.56903
38.352501,-121.9617,38.347878,-122.01459
36.9533,-120.034103,36.98361,-119.98668
40.635277,-80.546638,40.661728,-80.534485
30.3503,-95.425003,30.30848,-95.44623
40.639702,-80.532898,40.661728,-80.534485
40.931396,-81.12352,40.95224,-81.04782
44.087799,-75.974403,44.05373,-75.97839
45.168434,-113.888962,45.1246,-113.84325
45.181908,-113.890282,45.230648,-113.87149
34.002602,-89.799004,33.960266,-89.758514
36.052799,-89.381897,36.001415,-89.42236
35.912487,-82.06208,35.908512,-82.01428
32.414341,-111.154541,32.403526,-111.168
32.176399,-110.737801,32.133404,-110.7316
46.69838,-68.038933,46.740902,-68.03424
35.369202,-77.993896,35.38918,-77.92844
35.102798,-85.162201,35.080757,-85.125
35.0508,-85.293098,35.09479,-85.256195
39.278702,-84.366119,39.271988,-84.41257
40.67025,-74.126083,40.6949,-74.07846
30.2211,-91.3153,30.275253,-91.34323
43.7995,-123.053497,43.767086,-123.04106
30.399401,-91.418297,30.388973,-91.45969
42.4006,-72.523598,42.413143,-72.56656
40.838329,-115.766006,40.881058,-115.7119
39.10144,-90.344498,39.105907,-90.35062
39.214939,-84.690857,39.194084,-84.70929
30.5872,-91.207199,30.589863,-91.195465
53.9147,-122.741898,51.014534,-121.30609
53.871101,-122.743599,50.98641,-121.46857
38.746429,-121.264977,38.73147,-121.286896
53.858299,-122.760803,50.98641,-121.46857
39.1003,-120.952797,39.131115,-120.992905
38.937801,-121.103897,38.893234,-121.05475
37.702641,-89.698639,37.649258,-89.66083
40.918331,-98.378891,40.9145,-98.36371
33.194401,-97.193298,33.22674,-97.193634
