County,Age65AndOlderPct2020,AvgHHSize,Ed1LessThanHSPct,Ed5CollegePlusPct,Net_InterMigrationRate_2020_2021,OwnHomePct,Under18Pct2020,PctEmpChange2021,PctEmpAgriculture,PctEmpMining,PctEmpConstruction,PctEmpManufacturing,PctEmpTrans,PctEmpServices,PctEmpTrade,UnempRate2021,Deep_Pov_All,Median_HH_Inc_ACS,PerCapitaInc,Poverty_Rate_ACS,POPESTIMATE2021,PopDensity2020
Ford,11.46,2.92,24.94,20.49,0.15,66.58,30.95,3.6,5.122248679,0.209071375,7.909867007,27.10958825,6.353446774,35.36790754,11.30727685,2.1,3.881733544,59578,26753,12.26092388,34159,31.22
Franklin,17.09,2.53,7.22,23.02,0.01,72.26,23.35,4.4,1.756777223,0.757231561,8.556716644,9.06406179,10.65424807,37.12706346,21.83098592,3.1,3.86766631,63996,29874,8.802411837,25986,45.47
Geary,8.8,2.66,6.18,23.86,-0.02,43.68,29.33,0.7,1.008064516,0,6.108124253,7.048984468,5.286738351,46.26642772,14.26971326,4.3,8.417290482,54664,25233,18.13192998,35934,95.51
Gove,24.03,2.26,5.69,19.61,0,76.45,25.75,1,20.32967033,1.412872841,9.105180534,5.337519623,2.904238619,39.6389325,13.50078493,1.9,2.830882353,53226,30605,6.470588235,2755,2.54
Graham,26.42,2.04,6.21,26.38,0.04,80.03,20.99,1.3,9.4494659,6.573541496,8.134757601,5.751848809,6.573541496,32.78553821,13.96877568,2.9,2.987551867,44091,28920,9.211618257,2400,2.69
Grant,14.38,2.98,20.9,24.08,0.05,69.97,29.87,-3.5,16.13398894,16.28764597,4.333128457,7.590657652,11.03257529,19.72956361,12.66133989,3,5.735694823,60417,32568,8.651226158,7324,12.79
Gray,15.92,2.75,22.42,23.07,0.07,81.89,28.36,0.2,21.32049519,0.206327373,8.253094911,5.708390647,10.07565337,31.63686382,13.99587345,1.7,1.311298725,70321,31443,4.688342015,5644,6.51
Greeley,18.77,2.27,12.17,29.32,0,73.66,25.55,0.9,21.42857143,0,7.871720117,1.895043732,5.685131195,32.21574344,18.07580175,1.2,5.51948052,57281,31844,11.12012987,1304,1.65
Greenwood,25.78,2.36,7.64,17.61,0,77.37,21.39,-0.6,9.704347826,5.07826087,8.243478261,13.56521739,7.47826087,36.06956522,11.26956522,2.8,4.694048617,46783,29676,13.4450964,5939,5.26
Hamilton,14.69,3.31,18.77,19.45,0.28,81.23,28.83,0.5,31.36472466,1.675977654,12.29050279,4.549082203,4.070231445,31.20510774,8.300079809,1.4,6.687402799,48333,26119,7.426127527,2484,2.53
Harper,23.3,2.44,10.92,16.79,0.02,71.73,24.03,1.4,11.17068811,1.653261841,7.64075067,14.96872207,6.121537087,35.34405719,14.96872207,2.6,9.570711764,52188,25403,17.61754321,5331,6.85
Harvey,19.36,2.46,8.33,31.99,0.06,71.65,23.84,3.3,2.558673019,0.123522146,4.723251573,17.14605023,4.811481678,49.2382801,11.15816717,2.9,3.040685225,60653,30822,9.779749159,33817,63.04
Haskell,15.26,2.82,27.65,15.28,0.13,76.59,30.16,-0.4,27.92841649,1.789587853,7.15835141,7.971800434,5.368763558,30.69414317,12.5813449,1.8,3.375863902,58841,32122,9.888357257,3668,6.55
Hodgeman,22.17,2.51,8.58,30.21,0.17,82.07,24.84,2.7,29.47481243,0.214362272,4.715969989,5.466237942,3.8585209,36.44158628,8.788853162,1.8,5.859590934,62902,30864,10.11608624,1710,2.00
Jackson,18.95,2.53,5.69,21.16,0.02,75.46,25.61,2.8,3.841249602,0,10.61523749,12.14536181,6.407395601,43.49697163,9.260439911,2.6,3.034230388,62023,28832,9.788823664,13261,20.16
Jefferson,19.39,2.51,5.15,24.59,0,84.29,23.36,2.8,3.28062816,0.075293105,12.90738948,9.906421426,6.91620953,39.63644186,10.29364311,3,2.669528842,72270,35384,6.43989432,18411,34.49
Jewell,30.29,2.34,7.27,19.71,0,82.9,21.32,-0.4,16.0483871,0,5.080645161,6.693548387,7.741935484,44.91935484,11.12903226,2.2,8.122179799,45655,28958,18.50052065,2937,3.22
Johnson,14.97,2.52,3.73,56.33,0.04,69.19,24.25,3.1,0.415020239,0.096075077,5.124204896,8.02001012,4.698041153,51.03996,13.45773901,2.7,2.46098109,96059,51663,5.146142645,613219,1287.64
Kearny,15.99,3.03,22.27,19.21,0.03,71.13,28.87,2,24.33333333,2.444444444,4.444444444,4.222222222,13.16666667,31.27777778,13.66666667,1.6,6.695519348,61406,26604,15.50407332,3891,4.58
Kingman,21.1,2.32,8.83,22.24,0,72.27,22.44,2.9,8.835787719,1.361489303,9.780494582,14.11503195,6.14059461,37.70491803,14.44845791,3.1,4.132231405,54852,32435,9.090909091,7392,8.65
Kiowa,21.99,2.45,11.87,24.56,0,72.25,22.85,-1.1,12.05320033,3.158769742,6.650041563,1.995012469,6.151288446,44.55527847,13.30008313,2.1,2.022867194,61406,26908,5.013192612,2392,3.40
Labette,19.5,2.51,9.94,22.29,0,75.26,25.17,-0.3,2.466874933,0.646342777,4.80448131,20.41365938,4.966067004,47.76473123,10.8370139,3.4,5.141388175,51425,26698,15.92318161,19912,31.27
Lane,22.68,2.28,4.26,23.8,0,74.2,21.41,-0.3,22.27488152,0,5.331753555,0.947867299,7.701421801,45.37914692,13.03317536,2,0.932090546,44219,31669,9.786950732,1565,2.19
Leavenworth,14.96,2.66,7.05,34.64,0.01,66.31,24.07,3.1,1.12700846,0.136262988,7.176517345,7.1197411,4.817464373,45.66513371,13.70010787,3.3,4.538999632,80853,35416,8.579656025,82184,176.69
Lincoln,24.7,2.39,4.48,24.73,0,79.13,23.07,-2,15.70422535,1.971830986,7.042253521,8.732394366,12.11267606,34.64788732,9.929577465,2.2,5.152143845,48457,27261,11.82572614,2903,4.09
Linn,22.39,2.35,6.32,20.5,0,79.26,22.66,2.9,5.763757116,1.684060721,15.51233397,6.665085389,9.179316888,33.46774194,14.84819734,4.3,6.149509292,52339,30476,11.81875131,9747,16.14
Logan,20.89,2.38,7.51,20.4,0,65.22,25.16,2.2,22.16817234,0.764419736,6.60180681,2.223766505,7.088255733,41.69562196,9.728978457,1.6,4.768838733,62202,33607,10.26574445,2722,2.57
Lyon,15.73,2.36,11.64,26.67,0.14,57.46,22.02,3.7,2.024714277,0.40610315,4.246678656,21.04774613,6.335209143,44.53791263,15.2578755,2.8,7.76063881,52591,27026,14.95686752,31998,37.97
McPherson,19.93,2.35,8.29,29.7,0.01,72.87,21.97,1.2,3.61880993,0.958886116,6.180218048,23.09207934,4.216471825,42.91343754,6.909234205,2.1,4.383054518,63816,32430,9.171235986,30146,33.65
Marion,23.19,2.41,8.18,27.55,0.02,81.03,21.87,2.5,8.212900952,0.334860768,8.160028199,16.60204441,5.234402538,42.95029961,12.49559394,2.4,3.342918764,54679,29047,8.977354421,11712,12.52
Marshall,22.1,2.42,8.59,18.76,0.01,80.91,23.9,0.2,8.14279984,0.240673887,4.933814681,18.27115925,6.518251103,36.76293622,13.19695146,1.9,2.233502538,58750,32594,10.18274112,9979,11.15
Meade,18.67,2.44,15.5,22.37,0.05,68.2,26.39,2.3,19.35802469,2.37037037,11.25925926,6.271604938,5.382716049,39.45679012,7.111111111,2.2,3.967855349,66042,44786,8.136614766,4022,4.15
